Response;Parameters;Imp.;Estimate (±SE);(95% CI);N model
lreg_tarpedarea;add_control;0.06;-0.081 (±0.348);"(-0.763; 0.602)";5
lreg_tarpedarea;geomem;0.38;0.401 (±0.622);"(-0.818; 1.620)";5
lreg_tarpedarea;obstacles;1.00;-0.214 (±0.094);"(-0.399; -0.029)";5
lreg_tarpedarea;pb_fixation;0.51;-0.910 (±1.021);"(-2.911; 1.091)";5
lreg_tarpedarea;stripsoverlap_ok;0.43;-0.616 (±0.800);"(-2.184; 0.952)";5
lreg_tarpedarea;tarpfix_pierced;0.13;0.019 (±0.189);"(-0.352; 0.389)";5
