Response;Parameters;Imp.;Estimate (±SE);(95% CI);N model
lreg_edges;add_control;0.16;0.189 (±0.516);"(-0.822; 1.200)";4
lreg_edges;geomem;0.27;0.245 (±0.507);"(-0.748; 1.239)";4
lreg_edges;log2(distance + 1);1.00;-2.413 (±0.832);"(-4.044; -0.782)";4
lreg_edges;log2(trench_depth + 1);0.84;-0.199 (±0.153);"(-0.499; 0.100)";4
lreg_edges;obstacles;0.34;0.075 (±0.133);"(-0.186; 0.336)";4
lreg_edges;tarping_duration;0.16;-0.028 (±0.077);"(-0.179; 0.122)";4
