Response;Parameters;Imp.;Estimate (±SE);(95% CI);N model
reg_stripsoverlap;levelling;1.00;-1.590 (±0.624);"(-2.813; -0.367)";4
reg_stripsoverlap;log2(sedicover_height + 1);0.43;0.131 (±0.185);"(-0.231; 0.494)";4
reg_stripsoverlap;obstacles;0.34;0.066 (±0.110);"(-0.150; 0.281)";4
reg_stripsoverlap;strips_overlap;0.07;0.000 (±0.003);"(-0.006; 0.005)";4
