Response;Parameters;Imp.;Estimate (±SE);(95% CI);N model
efficiency;followups;0.05;0.004 (±0.092);"(-0.176; 0.184)";55
efficiency;fully_tarped;0.99;1.068 (±0.282);"(0.516; 1.620)";55
efficiency;geomem;0.00;0.127 (±0.231);"(-0.327; 0.581)";55
efficiency;log2(distance + 1);0.49;0.406 (±0.195);"(0.024; 0.788)";55
efficiency;log2(sedicover_height + 1);0.00;0.007 (±0.059);"(-0.108; 0.123)";55
efficiency;log2(stand_surface);0.00;-0.048 (±0.053);"(-0.151; 0.056)";55
efficiency;tarping_duration;0.00;0.172 (±0.184);"(-0.189; 0.532)";55
efficiency;obstacles;0.99;-0.142 (±0.036);"(-0.213; -0.070)";55
efficiency;pb_fixation;0.10;-0.299 (±0.270);"(-0.828; 0.230)";55
efficiency;plantation;0.00;-0.111 (±0.306);"(-0.710; 0.488)";55
efficiency;slope;0.13;-0.045 (±0.035);"(-0.113; 0.022)";55
efficiency;uprootexcav;0.08;-0.204 (±0.223);"(-0.642; 0.233)";55
